Sector,index,pegRatio,pbRatio,pcfRatio,peRatio,prRatio,quickRatio,ltDebtToEquity,totalDebtToEquity,interestCoverage,grossMarginTTM,grossMarginMRQ,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,returnOnAssets,returnOnEquity,returnOnInvestment,beta,Rating,bookValuePerShare,currentRatio,dividendPayAmount,epsChangePercentTTM,epsChangeYear,epsTTM,revChangeIn,revChangeTTM,high52,low52,marketCap,marketCapFloat,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees
Health Technology,TNXP,0,1.60168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43491,Buy,0,14.16583,0,98.208,99.8343,0,0,0,2.46,0.3902,111.9583,156.507,0,191648251,0,0,TNXP,0,21862661,21862660,231331630,0.8206,14.76923077,0.1056,50755650,157266349,,-3.5529,16
Health Technology,AZRX,0,1.84809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81828,Buy,0,4.3949,0,3.18297,0,0,0,0,1.9383,0.3709,27.37089,27.03882,0,30412100,0,0,AZRX,0,1373118,1373120,7321380,0.85,-5.55555556,-0.05,1968453,25850285,,-0.883,10
Health Technology,ADMP,0,1.85127,0,0,2.75175,1.16228,5.19992,19.29725,0,12.01414,15.21145,0,0,0,0,0,0,0,1.64103,Buy,0,1.32074,0,33.25999,20.85712,0,9.52974,0,1.51,0.27,50.71561,92.9053,0,93657628,0,0,ADMP,16.17577,3637920,3637920,99478020,0.6152,13.61034164,0.0737,15320655,57618156,,-0.4974,171
Health Technology,PTN,0,2.03651,0,0,0,7.42885,0,0,0,0,0,0,0,0,0,0,0,0,1.59815,Buy,10.35881,7.88668,0,0,13.67167,0,0,0,0.895,0.355,156.7927,221.1451,0,229901307,0,0,PTN,0,12648130,12648130,65381660,0.7081,3.82697947,0.0261,3895927,162792898,,-0.0929,20
Health Technology,AEZS,0,2.13053,0,0,24.82886,12.7685,0.50172,1.32691,0,6.74847,74.21875,0,0,0,0,0,0,0,1.96281,Buy,0,12.97496,0,70.63543,0,0,88.23529,0,1.54,0.29,32.37684,58.73468,0,62678613,0,0,AEZS,1.30953,4251258,4251260,50508010,0.5168,0.36900369,0.0019,7306908,32392300,,-0.18558862,11
Health Technology,NBY,0,2.1981,0,0,3.13134,5.0706,0,0.74917,0,61.53846,75.29954,0,0,0,0,0,0,0,3.75299,Buy,0,5.332,0,12.20154,0,0,0,14.43662,1.94,0.24,30.53053,31.25056,0,41782584,0,0,NBY,0.7436,1792766,1792770,28689550,0.785,7.43123033,0.0543,2836723,32799341,,-0.4107,28
Health Technology,CPHI,0,2.71711,0,0,1.94414,0.13157,11.9579,63.23369,0,15.30241,1.96612,0,0,0,0,0,0,0,0.33249,Strong Buy,0,0.43566,0,0,0,0,0,0,1.4,0.25,21.35398,21.93809,0,43579557,0,0,CPHI,38.73814,704297,704300,13309780,0.5576,13.79591837,0.0676,2778460,24300208,,-0.4682,242
Health Technology,CFMS,0,3.03588,0,0,0.79129,1.50043,132.0553,132.0553,0,49.43783,47.66454,0,0,0,0,0,0,0,1.47427,Buy,0,1.90046,0,35.09629,35.39961,0,0,0,1.6199,0.5003,56.93571,79.83368,0,85940699,0,0,CFMS,56.90682,5256983,5256980,24349640,0.75,13.20754717,0.0875,8817577,58166625,,-0.3401,271
Health Technology,NAOV,0,3.17797,0,0,25.84772,10.42582,0.85706,1.28558,0,26.12903,66,0,0,0,0,0,0,0,0,Buy,0,10.72527,0,32.48387,46.36626,0,0,24.74849,3.5,0.5351,16.02559,17.83189,0,19307938,0,0,NAOV,1.26927,840993,840990,83679410,0.8796,5.97590361,0.0496,2531810,20088438,,-0.5572,10
Health Technology,BIOL,0,3.18815,0,0,1.79812,1.09434,22.66984,116.136,0,36.76049,34.77596,0.18351,0,0,0,0,0,0,2.07635,Buy,0,1.68185,0,50.53221,14.65462,0,122.5664,0,0.96,0.211,43.94966,83.15099,0,93509919,0,0,BIOL,53.73284,44116381,44116380,204717760,0.515,9.57446809,0.045,25026996,48157599,,-0.6546,157
Health Technology,AVGR,0,3.48403,0,0,5.86181,1.50318,6.30275,86.77875,0,29.84519,33.75326,0,0,0,0,0,0,0,1.80976,Buy,0,1.72398,0,78.32142,88.6797,0,57.02592,0,1.3203,0.2139,50.35879,81.72284,0,84922079,0,0,AVGR,46.46072,46278467,46278470,224479980,0.6667,12.42833052,0.0737,48844987,56617564,,-1.3085,81
Health Technology,MBRX,0,3.62935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08938,Buy,0,4.43572,0,7.74654,39.42086,0,0,0,1.97,0.323,53.10113,55.4917,0,62464564,0,0,MBRX,0,2488945,2488940,37044060,0.89,4.69356546,0.0399,2003970,55593494,,-0.3325,16
Health Technology,NDRA,0,6.00081,0,0,0,3.18619,10.10741,10.10741,0,0,0,0,0,0,0,0,0,0,1.5756,Buy,27.72768,3.41728,0,0,66.716,0,0,0,2.25,0.599,26.91306,31.7975,0,33641324,0,0,NDRA,9.17959,759182,759180,7639200,0.89,11.25,0.09,1393341,29940757,,-1.8304,15
Health Technology,ISR,0,7.25489,0,0,4.80016,2.69711,0,0,0,52.66181,52.2651,0,0,0,0,0,0,0,1.73227,Buy,0,3.11827,0,25.53577,14.4856,0,4.60728,20.85038,1.06,0.352,46.79679,86.10759,0,87226074,0,0,ISR,0,2300290,2300290,28959400,0.5305,-1.11835974,-0.006,39780284,46273446,,-0.0493,53
Health Technology,ONTX,0,7.57683,0,0,454.6645,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9025,Buy,0,2.69117,0,92.97082,95.38856,0,17.85714,0,1.56,0.1901,92.75156,183.7688,0,184948267,0,0,ONTX,0,42647345,42647350,335056940,0.83,65.50348953,0.3285,264762391,153506840,,-0.1616,19
Health Technology,OGEN,0,12.86411,0,0,0,0,0,4.89764,0,0,0,0,0,0,0,0,0,0,0.4356,Buy,0,9.55053,0,1.1013,9.4013,0,0,0,2.09,0.36,47.70963,85.39326,0,91766928,0,0,OGEN,4.66897,17655583,17655580,156587510,0.58,11.55991537,0.0601,40253380,43612578,,-0.5021,7
Industrial Services,BORR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buy,0,0,0,0,0,0,0,0,9.12,0.2426,0,0,0,220318704,0,0,BORR,0,4294426,0,0,0.8995,11.04938272,0.0895,6928214,196863928,,-2.68221362,694
Industrial Services,SDPI,0,3.24723,66.04216,0,1.15785,0.45853,41.23527,142.5584,0,52.16614,43.73546,0,0,0,0,0,0,0,1.06219,Buy,0,0.60436,0,0,0,0,0,0,1.05,0.2005,15.36537,10.4064,0,25617486,0,0,SDPI,58.77281,413554,413550,13642940,0.71,18.37279093,0.1102,993600,18188425,,-0.1038,63
Industrial Services,VTNR,0,3.40985,0,0,0.25104,1.25436,28.30679,44.49033,0,18.15343,13.06395,0,0,0,0,0,0,0,2.50314,Buy,0,1.4076,0,0,0,0,74.90129,0,1.95,0.4005,34.53057,31.69237,0,45554841,0,0,VTNR,18.68701,606690,606690,13714630,0.8125,7.18997361,0.0545,1142182,37013275,,-0.5568,225
Miscellaneous,SHIP,0.005425,0.40252,62.36497,0.5483,0.49856,0,21.45278,206.659,0.70619,37.2115,47.74312,18.27897,0,45.23943,13.29924,0,0,0,1.02504,Buy,0,0.21122,0,101.0659,0,0.92905,117.3302,0,8.4928,0.39,34.79965,61.46558,0,68314985,0,0,SHIP,67.39048,7108755,7108750,140077540,0.565,10.91480173,0.0556,12579107,38597975,,-3.6266,38
Non-Energy Minerals,GSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buy,0,0,0,0,0,0,0,0,1.14,0.2713,0,0,0,315163600,0,0,GSV,0,758836,0,0,0.7687,-0.16883117,-0.0013,426203,242266567,,-0.02178551,17
Non-Energy Minerals,RETO,0,0.49478,0,0,1.15038,0.82711,18.88385,44.39746,0,24.23896,8.2047,0,0,0,0,0,0,0,0,Buy,24.49418,0.93691,0,0,0,0,0,0,1.92,0.3,16.31285,10.79533,0,24135000,0,0,RETO,29.82634,494698,494700,19476680,0.767,13.4783252,0.0911,2957222,18511545,,-0.6675,139
Non-Energy Minerals,AAU,0,1.055,0,0,0,0,4.12742,4.31169,0,0,0,0,0,0,0,0,0,0,0.99775,Sell,1.2564,9.47715,0,9.53916,81.30081,0,0,0,1.24,0.2121,58.49584,114.9528,0,120548611,0,0,AAU,4.13346,3298910,3298910,25780310,0.5063,3.32653061,0.0163,2587218,61033959,,-0.02103687,
Non-Energy Minerals,NAK,0,1.206,0,0,0,0,0.39882,0.53915,0,0,0,0,0,0,0,0,0,0,1.11174,Buy,0,3.78731,0,23.25185,0,0,0,0,2.49,0.306,177.2918,497.5037,0,509046631,0,0,NAK,0.53625,10314583,10314580,304607230,0.4132,17.38636364,0.0612,85826784,210338220,,-0.1111735,
Non-Energy Minerals,XPL,0,1.31935,0,0,0,0,0,0.29157,0,0,0,0,0,0,0,0,0,0,1.70708,Buy,17.66891,34.82591,0,81.53097,96.42577,0,0,0,0.8799,0.132,31.67487,48.5954,0,58108366,0,0,XPL,0.29072,358829,358830,24988750,0.579,6.21904238,0.0339,1717920,33644764,,-0.0133,3
Non-Energy Minerals,CSCW,0,2.56608,0,0,0,0,0,0,0,9.8232,0,0,0,0,0,0,0,0,2.44665,Buy,0,5.97735,0,0,0,0,0,0,2.06,0.3113,36.2088,41.82642,0,54861811,0,0,CSCW,0,13388354,13388350,89586360,0.6172,-6.48484848,-0.0428,5398578,17805479,,,
Non-Energy Minerals,DNN,0,2.61221,0,0,41.43421,1.62272,0.19972,0.31176,0,14.84774,16.22311,0,0,0,0,0,0,0,2.16418,Buy,0,1.87181,0,53.3101,19.57721,0,0,0,0.765,0.19,463.2447,664.3914,0,677668423,0,0,DNN,0.31079,3492119,3492120,61561220,0.7622,13.74421728,0.0921,4881901,516518550,,-0.0180423,
Non-Energy Minerals,URG,0,3.31776,0,0,6.7252,2.35878,32.63453,33.86665,0,6.47418,0,0,0,0,0,0,0,0,1.71491,Strong Buy,2.16967,4.72346,0,40.26195,15.27037,0,0,0,0.9292,0.271,128.8077,164.0128,0,169667672,0,0,URG,25.2988,1756455,1756450,19293490,0.829,9.05024993,0.0688,1546880,140654772,,-0.04641587,30
Non-Energy Minerals,GPL,0,3.60495,0,0,1.2975,0.96777,12.89322,61.98963,8.26517,20.99536,41.40796,24.19533,0,31.48574,0,0,0,0,1.79312,Buy,0,1.25877,0,0,358.1088,0,14.90571,75.8111,1.07,0.2261,334.4648,351.0768,0,354727818,0,0,GPL,38.26765,1960378,1960380,33554910,0.9597,2.4226254,0.0227,2639514,340432462,,-0.27332959,821
Non-Energy Minerals,TRX,0,5.30835,0,0,0,0.44171,0,20.50835,0,0,0,0,0,0,0,0,0,0,1.03997,Buy,0,0.51026,0,58.29766,93.6614,0,0,0,1.09,0.36,141.4364,199.8065,0,207716446,0,0,TRX,17.17514,529816,529820,6883820,0.6693,-1.90532024,-0.013,645570,139024319,,-0.06408534,
Non-Energy Minerals,AUMN,0,10.7712,0,0,19.79651,6.15055,0,0,0,66.80633,72.87978,0,0,0,0,0,0,0,1.24687,Strong Buy,0,6.27234,0,42.5006,46.54762,0,75.3268,9.77853,0.848,0.1336,127.5687,112.7713,0,154012652,0,0,AUMN,0,2209102,2209100,35677100,0.822,-0.76059399,-0.0063,1597505,126598686,,-0.0477,170
Process Industries,ITP,0,0.09305,1.184,0,0.15415,1.29464,3.41519,9.4983,0.24116,10.33188,7.69708,0,0,0.71282,0,0,0,0,0.3796,Sell,0,1.80371,0,68.32972,0,0,26.53482,0,1.39,0.391,15.73448,23.09765,0,28535816,0,0,ITP,8.67438,713797,713800,49482130,0.6119,10.8916274,0.0601,992747,17461056,,-0.073,428
Process Industries,SNDL,0,2.05598,0,0,7.80458,0.49949,70.12101,171.2717,0,10.78481,20.25651,0,0,0,0,0,0,0,0,Buy,0,0.85311,0,0,16.45689,0,0,0,3.88,0.1381,419.1213,749.6356,0,762038780,0,0,SNDL,61.67631,203695595,203695600,4977928150,0.5395,-1.90909091,-0.0105,268239687,58335056,,-2.0405,1064
Producer Manufacturing,KIQ,0,0,0,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buy,0,0,0,0,0,0,0,0,0.9995,0.445,0,0,0,47170086,0,0,KIQ,0,146988,0,0,0.5488,-1.27720813,-0.0071,173556,25886951,17.06996379,0.03338948,
Producer Manufacturing,PFIE,0,0.89753,0,0,1.6696,7.57805,0.04703,0.14369,0,42.54562,38.0097,0,0,0,0,0,0,0,1.50131,Buy,0,11.78907,0,0,0,0,0,0,1.53,0.6248,39.94554,32.13179,0,47959582,0,0,PFIE,0.14348,56330,56330,1982270,0.87,4.45431624,0.0371,47537,41724852,,-0.0795,117
Producer Manufacturing,UAMY,0,4.28042,0,0,6.22041,0.5326,5.50378,7.99356,0,0,0,0,0,0,0,0,0,0,0.85085,Buy,0,0.69004,0,0,0,0,0,0,0.7344,0.2195,37.86256,59.84596,0,75740259,0,0,UAMY,7.40188,3202288,3202290,77750570,0.57,14.02280456,0.0701,7841492,43171971,,-0.05,177
Retail Trade,EXPR,0,0.99737,0,0,0.04383,0.41329,271.2923,271.2923,0,6.32476,4.33024,0,0,0,0,0,0,0,3.16138,Sell,0,0.96409,0,0,0,0,31.07736,0,5.2775,0.57,60.69994,62.59643,0,64947502,0,0,EXPR,73.06704,3190693,3190690,116332340,0.9629,3.02803338,0.0283,2300439,62537948,,-7.6788,14000
Retail Trade,ARTL,0,1.07569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buy,229.41,4.65411,0,0,20.49729,0,0,0,4.4234,0.451,12.61818,13.92949,0,15111587,0,0,ARTL,0,2330880,2330880,45997770,0.86,2.99401198,0.025,2424228,12995976,,-1.2687,3
Retail Trade,IFMK,0,3.08044,0,0,0.26817,0.38238,11.14422,124.8648,0,20.25153,19.79857,0,0,0,0,0,0,0,0,Sell,0,0.6259,0,70.44365,0,0,12.48068,0,2.83,0.345,24.00595,10.32854,0,30230383,0,0,IFMK,54.7293,414653,414650,5921440,0.792,-0.26445032,-0.0021,340521,23942477,,-0.1828,320
Retail Trade,BGI,0,5.62588,0,0,0.11323,0.07357,475.5718,2179.355,0,38.05749,37.88551,0,0,0,0,0,0,0,2.53878,Strong Buy,0,0.94625,0,33.2326,2.38305,0,0,12.16228,1.97,0.3208,15.01467,4.32264,0,10252911,0,0,BGI,95.61279,974606,974610,26071100,0.909,8.79712747,0.0735,1972344,16335521,,-0.458,291
Technology Services,UXIN,0,0,0,0,3.11567,0.84116,0,0,0,30.3191,0,0,0,0,0,0,0,0,0,Sell,0,0.86719,0,12.70096,14.13921,0,22.71807,0,2.95,0.72,261.2625,191.345,0,887617391,0,0,UXIN,0,5659146,5659150,132327110,0.9402,5.64044944,0.0502,2954993,251220000,,-1.7096,6455
Technology Services,XELA,0,0,0,0,0.04978,0.74794,0,0,0.22084,21.03672,23.27634,0,0,1.56119,0,0,0,0,1.87963,Strong Buy,0,0.79254,0,0,78.11801,0,0,0,0.87,0.086,68.29779,60.70113,0,147511430,0,0,XELA,213.5697,17410687,17410690,92145870,0.4835,4.42764579,0.0205,10463073,71321569,,-2.6953,22700
Technology Services,MKD,0,0,0,0,0.05222,0.71398,0,0,0,0.76301,0.86445,0,0,0,0,0,0,0,0,Sell,0,0.72042,0,8.20672,39.66482,0,0.95772,45.88453,4.83,0.57,106.7584,93.09332,0,290813051,0,0,MKD,0,426025,426030,18285770,0.81,-1.63934426,-0.0135,706656,79828200,,,482
Technology Services,PT,0,1.42405,0,0,0.21464,0,53.55304,423.5591,0,40.1131,8.22622,0,0,0,0,0,0,0,0,Buy,0,1.07236,0.13634,0,0,0,71.46794,0,3.28,0.75,42.70256,33.05795,0,251028277,0,0,PT,69.11535,189801,189800,5294140,0.9998,1.00010102,0.0099,53286,35499000,,,256
Technology Services,INUV,0,1.75816,0,0,0.90954,0,5.48069,6.42151,0,76.89114,82.14318,0,0,0,0,0,0,0,1.30588,Strong Buy,0,2.00933,0,36.93474,0,0,21.39815,0,1.11,0.0926,45.44096,89.27665,0,97617529,0,0,INUV,6.03403,4660055,4660060,63453900,0.53,13.85606874,0.0645,9136961,51737275,,-0.1164,64
Technology Services,LKCO,0,2.72842,0,0,7.99194,0,60.54265,60.54265,0,20.25196,22.30222,0,0,0,0,0,0,0,0,Buy,0,1.33514,0,0,0,0,127.8332,0,1.62,0.34,150.082,139.4171,0,212280126,0,0,LKCO,37.8992,5451871,5451870,34123660,0.71,0.42432815,0.003,1086509,150718800,,-0.1895,182
Transportation,CTRM,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buy,0,0,0,0,0,0,0,0,2.6,0.1123,0,0,0,131212376,0,0,CTRM,0,64498662,0,0,0.262,40.78452445,0.0759,288568531,34377544,0.31078824,0.5988,1
Transportation,PXS,0,0.63617,0,0,0.64698,0.4079,201.2552,212.8456,0.44799,35.58174,42.62273,0,0,9.01135,0,0,0,0,0.02608,Buy,0,0.46251,0,0,0,0,11.73415,0,1.37,0.6212,17.95573,3.96215,0,21559885,0,0,PXS,68.03535,525856,525860,14219080,0.8889,7.08335492,0.058799,503008,19164595,,-0.3666,0
Transportation,STCN,0,1.02279,1.43982,0,0.06733,0.89084,448.2546,454.9619,1.15927,21.87772,23.81395,0,0,4.16338,3.51652,0,0,0,1.00198,Sell,0,0.95046,0,73.00117,0,0,3.07964,0,1.69,0.402,48.98558,55.70386,0,62793969,0,0,STCN,81.98074,173102,173100,3434510,0.769,-1.4228945,-0.0111,145130,48288586,,-0.2551,3481